Rule ID,Rule Name,Category,Priority,Rule Strength,Applies Level,Description,Inputs Required,Conditions,Constraint,Constraint Params,Exceptions,Config Variables,Conflict Resolution,Violation Message,Test Cases
CG-01,Same consignee grouping,Commercial Grouping,P2 Productivity,SOFT,STACK,Containers belonging to the same consignee should be grouped together,"container.consignee_id, tier_below.container.consignee_id",consignee_id == below.consignee_id,SEPARATE,group_key=consignee,"Safety, hazmat, customs",VAR_ALLOW_MIXED_CONSIGNEE=false,Safety > Regulatory > Productivity > Efficiency,Consignee mismatch in stack,PASS:C1/C1; FAIL:C1/C2
CG-02,Same shipping line grouping,Commercial Grouping,P2 Productivity,SOFT,STACK,Containers of same shipping line grouped together,"container.shipping_line_id, tier_below.shipping_line_id",shipline_id == below.shipline_id,SEPARATE,group_key=shipping_line,"Safety, hazmat",VAR_ALLOW_MIXED_SHIPLINE=false,Safety > Regulatory > Productivity > Efficiency,Shipping line mismatch,PASS:SL1/SL1; FAIL:SL1/SL2
CG-03,Same CFS grouping,Operational Grouping,P2 Productivity,SOFT,STACK,Containers from same CFS grouped,"container.cfs_id, tier_below.cfs_id",cfs_id == below.cfs_id,SEPARATE,group_key=cfs,Yard saturation,VAR_ALLOW_MIXED_CFS=true,Safety > Productivity,Mixed CFS stack,PASS:CFS1/CFS1; FAIL:CFS1/CFS2
CG-04,Same Shipping Bill grouping,Operational Grouping,P2 Productivity,SOFT,STACK,Containers from same shipping bill number grouped,"container.sb_id, tier_below.sb_id, adjacent.sb_id",sb_id == below.sb_id,SEPARATE,group_key=sb,Yard saturation,VAR_ALLOW_MIXED_CFS=true,Safety > Productivity,Mixed CFS stack,PASS:SB1/SB1; FAIL:SB1/SB2
DL-01,CFS vs DPD segregation,Delivery Model,P1 Regulatory,HARD,STACK,DPD and CFS cargo must not be mixed,"container.delivery_mode, tier_below.delivery_mode",delivery_mode == below.delivery_mode,FORBID,—,Customs override,VAR_ALLOW_DPD_CFS_MIX=false,Safety > Regulatory,DPD/CFS mixed,PASS:DPD/DPD; FAIL:DPD/CFS
FL-01,Export & import segregation,Flow Segregation,P1 Regulatory,HARD,STACK,Export and import must not be mixed,"container.flow, tier_below.flow",flow == below.flow,FORBID,—,Transshipment,VAR_ALLOW_EXPORT_IMPORT_MIX=false,Safety > Regulatory,Export/import mixed,PASS:E/E; FAIL:E/I
PD-01,Port of delivery grouping,Port of Delivery,P2 Productivity,SOFT,STACK,Same POD containers grouped,"container.port_of_delivery, tier_below.port_of_delivery",pod == below.pod,SEPARATE,group_key=POD,Vessel planning,VAR_ALLOW_MIXED_POD=true,Safety > Productivity,POD mismatch,PASS:P1/P1; FAIL:P1/P2
SZ-01,Like-on-like size stacking,Size Compatibility,P0 Safety,HARD,STACK,Same ISO length stacking only,"container.size, tier_below.size",size == below.size,FORBID,—,OOG in OOG zone,—,Safety > all,Size mismatch,PASS:20/20; FAIL:20/40
SZ-02,No 20ft on 40ft,Size Compatibility,P0 Safety,HARD,STACK,Prevent 20ft on 40ft,"container.size, tier_below.size",size==20 AND below==40,FORBID,—,—,—,Safety > all,20 on 40,PASS:20/20; FAIL:20/40
SZ-03,No 40ft on 20ft,Size Compatibility,P0 Safety,HARD,STACK,Prevent 40ft on 20ft,"container.size, tier_below.size",size==40 AND below==20,FORBID,—,—,—,Safety > all,40 on 20,PASS:40/40; FAIL:40/20
WT-01,Heavy at bottom,Weight,P0 Safety,HARD,STACK,Heavy containers below lighter,"container.weight, tier_below.weight",weight ≤ below.weight,FORBID,—,Live animals,VAR_LIVE_ANIMAL_MAX_TIER,Safety > all,Heavy above light,PASS:18/22; FAIL:28/20
WT-02,Weight gradient,Weight,P0 Safety,HARD,STACK,Weight decreases by tier,stack.weights[],∀ upper ≤ lower,REQUIRE,—,—,—,Safety > all,Weight gradient fail,PASS:30-25-20; FAIL:20-25-30
HT-01,Max tier per block,Height,P0 Safety,HARD,BLOCK,Block max height enforced,"current_tier, block.max_tier",tier < VAR_MAX_TIER_BY_BLOCK,LIMIT,max_tier,Wind emergency,VAR_MAX_TIER_BY_BLOCK,Safety > all,Max tier exceeded,PASS:4/5; FAIL:6/5
SE-01,Live animal isolation,Safety,P0 Safety,HARD,STACK,Live animals isolated vertically,container.cargo_type,"cargo_type==""LIVE_ANIMALS""",FORBID,no_above_below,Emergency,VAR_LIVE_ANIMAL_OVERRIDE,Safety > all,Live animal stacked,PASS:isolate; FAIL:stacked
SE-02,Weight-based tier cap,Engineering,P0 Safety,HARD,STACK,Heavy containers limited tier,"container.weight, VAR_WEIGHT_TIER_THRESHOLD",weight > VAR_WEIGHT_TIER_THRESHOLD,LIMIT,max_tier=VAR_MAX_TIER_HEAVY,—,"VAR_WEIGHT_TIER_THRESHOLD, VAR_MAX_TIER_HEAVY",Safety > all,Heavy tier exceeded,PASS:3/3; FAIL:4/3
SE-03,Ground bearing limit,Engineering,P0 Safety,HARD,BLOCK,Block ground load limit,"stack_weight, block.ground_limit",stack_weight ≤ block_limit,FORBID,—,Engineering approval,VAR_BLOCK_GROUND_LOAD,Safety > all,Ground load exceeded,PASS:≤limit; FAIL:>limit
SE-04,Mixed height stability,Engineering,P0 Safety,HARD,STACK,Prevent HC on STD,"container.height_type, tier_below.height_type",NOT(HC over STD),FORBID,—,OOG,VAR_ALLOW_MIXED_HEIGHT,Safety > all,Unstable height mix,PASS:STD/STD; FAIL:HC/STD
HZ-01,IMDG class segregation,Hazmat,P0 Safety,HARD,STACK,Incompatible IMDG classes separated per matrix,"container.imdg_class, tier_below.imdg_class",segregation_matrix[class1][class2] == ALLOWED,FORBID,segregation_matrix,Emergency override,VAR_IMDG_MATRIX,Safety > all,IMDG class conflict,PASS:3/3; FAIL:1.1/3
HZ-02,DG stacking height limit,Hazmat,P0 Safety,HARD,STACK,DG containers max 2 tiers,"container.is_dg, current_tier",is_dg AND tier <= VAR_DG_MAX_TIER,LIMIT,max_tier=2,Approved facility,VAR_DG_MAX_TIER=2,Safety > all,DG tier exceeded,PASS:2; FAIL:3
HZ-03,DG buffer distance,Hazmat,P0 Safety,HARD,BAY,DG requires buffer from non-DG,"container.is_dg, adjacent_slots",buffer_distance >= VAR_DG_BUFFER_METERS,REQUIRE,buffer=12m,Approved DG block,VAR_DG_BUFFER_METERS=12,Safety > all,DG buffer violated,PASS:≥12m; FAIL:<12m
HZ-19,DG only in DG blocks,Hazmat,P0 Safety,HARD,BLOCK,DG only in approved blocks,"container.is_dg, block.dg_approved",is_dg AND NOT block.dg_approved,FORBID,—,Permit,VAR_ALLOW_TEMP_DG_BLOCK,Safety > all,DG in non-DG block,PASS:DG/DG; FAIL:DG/NDG
HZ-20,DG quantity escalation,Hazmat,P1 Regulatory,HARD,YARD,Extra rules if DG qty high,"yard.dg_count, VAR_DG_QTY_THRESHOLD",dg_qty > VAR_DG_QTY_THRESHOLD,SEPARATE,escalation,Authority approval,VAR_DG_QTY_THRESHOLD,Safety > Regulatory,DG escalation triggered,PASS:low; FAIL:high
HZ-21,OOG clearance buffer,Special Cargo,P0 Safety,HARD,BAY,OOG needs buffer slots,"container.is_oog, adjacent_slots",adjacent_slots < VAR_OOG_BUFFER_SLOTS,FORBID,buffer_slots,—,VAR_OOG_BUFFER_SLOTS,Safety > all,No OOG clearance,PASS:ok; FAIL:missing
RF-01,Reefer in reefer block,Special Cargo,P0 Safety,HARD,BLOCK,Reefer containers only in reefer-enabled blocks,"container.is_reefer, block.reefer_enabled",is_reefer AND NOT block.reefer_enabled,FORBID,—,Genset reefer,VAR_ALLOW_GENSET_ANYWHERE,Safety > all,Reefer in non-reefer block,PASS:RF/RF; FAIL:RF/NRF
RF-02,Reefer power availability,Special Cargo,P0 Safety,HARD,SLOT,Reefer slot must have power plug,"container.is_reefer, slot.has_power",is_reefer AND NOT slot.has_power,FORBID,—,Genset,VAR_REQUIRE_PLUG,Safety > all,No power plug available,PASS:plugged; FAIL:no_plug
RF-03,Reefer temperature grouping,Special Cargo,P2 Productivity,SOFT,STACK,Similar temperature reefers grouped,"container.set_temp, tier_below.set_temp",abs(temp - below.temp) <= VAR_TEMP_TOLERANCE,SEPARATE,temp_tolerance=5C,—,VAR_TEMP_TOLERANCE=5,Safety > Productivity,Temperature mismatch,PASS:±5C; FAIL:>5C
MP-01,Vessel cutoff priority,Planning,P2 Productivity,SOFT,STACK,Earlier cutoff higher in stack,"container.cutoff, tier_below.cutoff",cutoff ≤ below.cutoff,ORDERING,earliest_on_top,Safety override,—,Safety > Productivity,Early cutoff buried,PASS:E/L; FAIL:L/E
MP-02,Dwell time optimization,Planning,P2 Productivity,SOFT,STACK,Shorter dwell containers on top,"container.expected_dwell, tier_below.expected_dwell",dwell ≤ below.dwell,ORDERING,shortest_on_top,Safety,—,Safety > Productivity,Long dwell on top,PASS:S/L; FAIL:L/S
PE-01,Do-not-move protection,Planning,P0 Safety,HARD,STACK,Hold containers not buried,"container.hold_flag, tier_above",hold_flag==true AND tier_above!=null,FORBID,—,Supervisor override,VAR_ALLOW_HOLD_OVERRIDE,Safety > all,Hold container buried,PASS:top; FAIL:buried
PE-02,Pre-staging near vessel,Planning,P2 Productivity,SOFT,BLOCK,Prestage exports near cutoff to sea-side,"container.cutoff, current_time",cutoff <= VAR_PRESTAGE_WINDOW,REQUIRE,prestage_zone,Congestion,VAR_PRESTAGE_WINDOW=24h,Safety > Productivity,Not prestaged,PASS:yes; FAIL:no
PE-03,Heavy export near vessel,Planning,P2 Productivity,SOFT,BLOCK,Heavy export closer to berth,"container.flow, container.weight",EXPORT AND weight > VAR_HEAVY_EXPORT_WEIGHT,LIMIT,max_dist=VAR_MAX_HEAVY_EXPORT_DIST,Safety,"VAR_HEAVY_EXPORT_WEIGHT, VAR_MAX_HEAVY_EXPORT_DIST",Safety > Regulatory,Heavy export far from berth,PASS:near; FAIL:far
PE-04,Minimize rehandle potential,Planning,P2 Productivity,SOFT,STACK,Place containers to minimize future rehandles,"container.expected_retrieval, stack.containers",rehandle_score <= VAR_MAX_REHANDLE_SCORE,SCORING,rehandle_score,—,VAR_MAX_REHANDLE_SCORE,Safety > Productivity,High rehandle risk,PASS:low; FAIL:high
PE-05,RTG travel optimization,Planning,P3 Efficiency,SOFT,BLOCK,Minimize RTG travel distance,"slot.position, rtg.position",travel_distance <= VAR_MAX_RTG_TRAVEL,SCORING,travel_distance,Congestion,VAR_MAX_RTG_TRAVEL,Productivity > Efficiency,Excessive RTG travel,PASS:near; FAIL:far
