Event Sequence Number,Movement ID,Timestamp,Event Type,Container ID,Container Number,ISO Code,Size (TEU),Container Type,Load Status,Weight (MT),Weight Class,Yard Zone Type,Shipping Bill Number,Vessel ID,Voyage ID,POD,POD Priority,Expected Voyage DateTime,Actual Voyage DateTime,Cutoff DateTime,Type,Movement Type,From Location Type,From Location ID,To Location Type,To Location ID,Block ID,Stack ID,Tier Level,Equipment ID,Equipment Type,Stack Height After Move,Operator ID,Job ID,Planned Timestamp,Actual Timestamp,Delay Minutes,Exception Flag,Exception Reason,Reason for Movement,Container Status After Event,Dwell Time Since Last Event (min),Move Intent,Optimality Tag,Rehandle Flag,Rehandle Count,Total Dwell Time (min),Yard Utilization %,Block Utilization %,Congestion Level
1,MOV-116DA83603,2025-01-15 05:51:16,Gate In,CNT-0034,CMAU2682396,45G1,2,Dry,Full,24.4,Heavy,Sea-Side,SB268546,V007,VOY-2501-KOC-07,Kochi,3,2025-01-18 09:28:00,2025-01-18 09:26:00,2025-01-18 14:28:00,export_container,Gate In,Gate,GATE-2,Yard,Sea-Side,N/A,N/A,0,TT-10,internal truck,0,OP-012,JOB-17B6709E,2025-01-15 05:51:00,2025-01-15 05:51:16,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,61.9,24.8,Medium
2,MOV-DE24FBFCC8,2025-01-15 06:16:52,Yard In,CNT-0034,CMAU2682396,45G1,2,Dry,Full,24.4,Heavy,Sea-Side,SB268546,V007,VOY-2501-KOC-07,Kochi,3,2025-01-18 09:28:00,2025-01-18 09:20:00,2025-01-18 14:28:00,export_container,Yard In,Yard,Sea-Side,Block,SS4-B5-17-03-1,SS4-B5,17-03,1,TT-10,internal truck,0,OP-016,JOB-17B6709E,2025-01-15 06:16:00,2025-01-15 06:16:52,0,0,N/A,Initial yard positioning,In Transit,25,Planned,Optimal,0,0,25,63.6,24.8,Medium
3,MOV-4B44EA8694,2025-01-15 06:28:15,Stack,CNT-0034,CMAU2682396,45G1,2,Dry,Full,24.4,Heavy,Sea-Side,SB268546,V007,VOY-2501-KOC-07,Kochi,3,2025-01-18 09:28:00,2025-01-18 10:21:00,2025-01-18 14:28:00,export_container,Stack,Block,SS4-B5-17-03-1,Block,SS5-B3-07-01-2,SS5-B3,07-01,2,RTG-03,RTG,2,OP-001,JOB-17B6709E,2025-01-15 06:28:00,2025-01-15 06:28:15,0,0,N/A,Yard stacking for storage,In Yard,12,Planned,Suboptimal,0,0,37,60.2,22,Medium
4,MOV-18DE84667F,2025-01-15 07:18:00,Pre-Staging,CNT-0034,CMAU2682396,45G1,2,Dry,Full,24.4,Heavy,Sea-Side,SB268546,V007,VOY-2501-KOC-07,Kochi,3,2025-01-18 09:28:00,2025-01-18 10:28:00,2025-01-18 14:28:00,export_container,Yard Out,Block,SS5-B3-07-01-2,Block,SS4-B3-13-04-2,SS4-B3,13-04,2,RTG-03,RTG,2,OP-003,JOB-17B6709E,2025-01-15 07:18:00,2025-01-15 07:18:00,0,0,N/A,Vessel cutoff preparation - VOY-2501-KOC-07,In Yard,50,Planned,Optimal,0,0,87,57.3,55.7,Low
5,MOV-18F52F0B20,2025-01-15 08:02:22,Vessel Load,CNT-0034,CMAU2682396,45G1,2,Dry,Full,24.4,Heavy,Sea-Side,SB268546,V007,VOY-2501-KOC-07,Kochi,3,2025-01-18 09:28:00,2025-01-18 09:33:00,2025-01-18 14:28:00,export_container,Vessel Load,Block,SS4-B3-13-04-2,Vessel,V007,SS4-B3,N/A,0,QC-03,QC,0,OP-008,JOB-17B6709E,2025-01-15 08:02:00,2025-01-15 08:02:22,0,0,N/A,Loading to Kochi service,Loaded,44,Planned,Optimal,0,0,131,64.6,69.7,Medium
6,MOV-54472769B8,2025-01-15 13:46:03,Gate In,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:05:00,2025-01-15 19:05:00,export_container,Gate In,Gate,GATE-5,Yard,Sea-Side,N/A,N/A,0,TT-05,internal truck,0,OP-014,JOB-2521DEDE,2025-01-15 13:46:00,2025-01-15 13:46:03,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,54.3,24.8,Low
7,MOV-A1F3B8F6AF,2025-01-15 14:42:41,Gate In,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:07:00,2025-01-15 15:08:00,export_container,Gate In,Gate,GATE-2,Yard,Sea-Side,N/A,N/A,0,TT-09,internal truck,0,OP-015,JOB-9C201F15,2025-01-15 14:42:00,2025-01-15 14:42:41,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,71,37.1,Medium
8,MOV-0538EC1A6F,2025-01-15 14:46:09,Yard In,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:12:00,2025-01-15 19:05:00,export_container,Yard In,Yard,Sea-Side,Block,SS4-B5-18-01-2,SS4-B5,18-01,2,RTG-08,RTG,0,OP-014,JOB-2521DEDE,2025-01-15 14:46:00,2025-01-15 14:46:09,0,0,N/A,Initial yard positioning,In Transit,60,Planned,Optimal,0,0,60,77.7,30.9,Medium
9,MOV-BC99CF52AB,2025-01-15 14:51:02,Stack,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:56:00,2025-01-15 19:05:00,export_container,Stack,Block,SS4-B5-18-01-2,Block,SS1-B5-12-01-1,SS1-B5,12-01,1,RTG-09,RTG,1,OP-013,JOB-2521DEDE,2025-01-15 14:51:00,2025-01-15 14:51:02,0,0,N/A,Yard stacking for storage,In Yard,5,Planned,Optimal,0,0,65,74.6,31.1,Medium
10,MOV-64F4354A18,2025-01-15 15:01:15,Unstack,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:59:00,2025-01-15 19:05:00,export_container,Unstack,Block,SS1-B5-12-01-1,Yard,SS1-B5-GROUND,SS1-B5,GROUND,0,RTG-08,RTG,0,OP-004,JOB-2521DEDE,2025-01-15 15:01:00,2025-01-15 15:01:15,0,0,N/A,Retrieval for repositioning,On Ground,10,Planned,Suboptimal,0,0,75,69.6,40.2,Medium
11,MOV-B5A1CFB891,2025-01-15 15:20:47,Yard In,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 08:52:00,2025-01-15 15:08:00,export_container,Yard In,Yard,Sea-Side,Block,SS1-B3-12-07-3,SS1-B3,12-07,3,TT-09,internal truck,0,OP-004,JOB-9C201F15,2025-01-15 15:20:00,2025-01-15 15:20:47,0,0,N/A,Initial yard positioning,In Transit,38,Planned,Optimal,0,0,38,69.9,38,Medium
12,MOV-AE242A3037,2025-01-15 15:25:11,Stack,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 08:52:00,2025-01-15 15:08:00,export_container,Stack,Block,SS1-B3-12-07-3,Block,SS3-B3-15-05-3,SS3-B3,15-05,3,RTG-02,RTG,3,OP-013,JOB-9C201F15,2025-01-15 15:25:00,2025-01-15 15:25:11,0,0,N/A,Yard stacking for storage,In Yard,5,Planned,Optimal,0,0,43,67.9,42.2,Medium
13,MOV-952510B30B,2025-01-15 15:36:51,Unstack,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:31:00,2025-01-15 15:08:00,export_container,Unstack,Block,SS3-B3-15-05-3,Yard,SS3-B3-GROUND,SS3-B3,GROUND,0,RTG-02,RTG,0,OP-006,JOB-9C201F15,2025-01-15 15:36:00,2025-01-15 15:36:51,0,0,N/A,Retrieval for repositioning,On Ground,11,Planned,Suboptimal,0,0,54,78.3,49.8,Medium
14,MOV-8F3B6D412C,2025-01-15 15:40:43,Yard Shift,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:34:00,2025-01-15 19:05:00,export_container,Transfer,Block,SS1-B5-GROUND,Block,SS3-B5-11-07-2,SS3-B5,11-07,2,RTG-08,RTG,0,OP-016,JOB-2521DEDE,2025-01-15 15:40:00,2025-01-15 15:40:43,0,0,N/A,Zone optimization movement,In Yard,39,Planned,Suboptimal,0,0,114,77.4,33.7,Medium
15,MOV-7DE5344297,2025-01-15 15:54:36,Yard Shift,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 10:04:00,2025-01-15 15:08:00,export_container,Transfer,Block,SS3-B3-GROUND,Block,SS2-B1-14-05-4,SS2-B1,14-05,4,RTG-02,RTG,0,OP-015,JOB-9C201F15,2025-01-15 15:54:00,2025-01-15 15:54:36,0,0,N/A,Zone optimization movement,In Yard,18,Planned,Suboptimal,0,0,72,72.7,55.7,Medium
16,MOV-BF559254A5,2025-01-15 15:55:02,Stack,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:15:00,2025-01-15 19:05:00,export_container,Stack,Block,SS3-B5-11-07-2,Block,SS4-B1-10-02-1,SS4-B1,10-02,1,RTG-08,RTG,1,OP-010,JOB-2521DEDE,2025-01-15 15:55:00,2025-01-15 15:55:02,0,0,N/A,Yard stacking for storage,In Yard,15,Planned,Optimal,0,0,129,69.6,41.4,Medium
17,MOV-23323B847B,2025-01-15 16:01:41,Stack,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:18:00,2025-01-15 15:08:00,export_container,Stack,Block,SS2-B1-14-05-4,Block,SS2-B4-16-01-4,SS2-B4,16-01,4,RTG-08,RTG,4,OP-001,JOB-9C201F15,2025-01-15 16:01:00,2025-01-15 16:01:41,0,0,N/A,Yard stacking for storage,In Yard,7,Planned,Suboptimal,0,0,79,77.8,61.6,Medium
18,MOV-A853308929,2025-01-15 16:08:48,Unstack,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:57:00,2025-01-15 19:05:00,export_container,Unstack,Block,SS4-B1-10-02-1,Yard,SS4-B1-GROUND,SS4-B1,GROUND,0,RTG-09,RTG,0,OP-007,JOB-2521DEDE,2025-01-15 16:08:00,2025-01-15 16:08:48,0,0,N/A,Retrieval for repositioning,On Ground,13,Planned,Suboptimal,0,0,142,75.9,68.8,Medium
19,MOV-CABFB6B240,2025-01-15 16:16:42,Unstack,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:21:00,2025-01-15 15:08:00,export_container,Unstack,Block,SS2-B4-16-01-4,Yard,SS2-B4-GROUND,SS2-B4,GROUND,0,RTG-02,RTG,0,OP-017,JOB-9C201F15,2025-01-15 16:16:00,2025-01-15 16:16:42,0,0,N/A,Retrieval for repositioning,On Ground,15,Planned,Suboptimal,0,0,94,76.7,61.3,Medium
